OPE ID,School,Total Allocation ($),Minimum Allocation to be Awarded for Emergency Financial Aid Grants to Students ($),Address,Address with USA,Latitude,Longitude,Type,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate
1011100,Cerro Coso Community College,"908,958.00","454,479.00","3000 College Heights Blvd, Ridgecrest, California 93555-9571","3000 College Heights Blvd, Ridgecrest, California 93555-9571, USA",35.5673364,-117.670908,"2-year, Public",5607,5607,25%,9%
113100,California Institute Of Technology,"908,781.00","454,391.00","1200 E California Blvd, Pasadena, California 91125","1200 E California Blvd, Pasadena, California 91125, USA",34.1356666,-118.12724,"4-year, Private not-for-profit",2237,938,94%,4%
2553600,Diversified Vocational College,"908,774.00","454,387.00","1670 Wilshire Blvd, Los Angeles, California 90017-1604","1670 Wilshire Blvd, Los Angeles, California 90017-1604, USA",34.0561128,-118.2724303,"< 2-year, Private for-profit",580,580,50%,
4181200,Southern California Health Institute (Sochi),"902,290.00","451,145.00","5644 Vineland Ave, North Hollywood, California 91601","5644 Vineland Ave, North Hollywood, California 91601, USA",34.1734875,-118.3700264,"< 2-year, Private for-profit",301,301,75%,
118300,Holy Names University,"895,448.00","447,724.00","3500 Mountain Blvd, Oakland, California 94619-1699","3500 Mountain Blvd, Oakland, California 94619-1699, USA",37.8029258,-122.186977,"4-year, Private not-for-profit",966,669,48%,4%
129100,Simpson University,"892,430.00","446,215.00","2211 College View Drive, Redding, California 96003-8606","2211 College View Drive, Redding, California 96003-8606, USA",40.6144049,-122.3322752,"4-year, Private not-for-profit",854,702,45%,25%
793000,Concorde Career College,"887,365.00","443,683.00","4393 Imperial Avenue, Suite 100, San Diego, California 92113-1964","4393 Imperial Avenue, Suite 100, San Diego, California 92113-1964, USA",32.7027264,-117.1028052,"2-year, Private for-profit",730,730,77%,
3973300,Sae  Expression College,"875,264.00","437,632.00","6601 Shellmond St, Emeryville, California 94608","6601 Shellmond St, Emeryville, California 94608, USA",37.8476192,-122.2954704,"4-year, Private for-profit",583,583,57%,
1047400,Marymount California University,"874,466.00","437,233.00","30800 Palos Verdes Drive East, Rancho Palos Verdes, California 90275-6299","30800 Palos Verdes Drive East, Rancho Palos Verdes, California 90275-6299, USA",33.7344926,-118.3337755,"4-year, Private not-for-profit",647,602,33%,26%
131900,"University Of California, San Francisco","867,955.00","433,978.00","500 Parnassus Ave, San Francisco, California 94143-0244","500 Parnassus Ave, San Francisco, California 94143-0244, USA",37.7640712,-122.4585776,"4-year, Public",3180,,,
760700,Concorde Career College,"861,408.00","430,704.00","12412 Victory Boulevard, North Hollywood, California 91606-3134","12412 Victory Boulevard, North Hollywood, California 91606-3134, USA",34.1863481,-118.4035766,"2-year, Private for-profit",601,601,73%,
807100,Concorde Career College,"857,787.00","428,894.00","12951 Euclid Street, Suite 101, Garden Grove, California 92840-9201","12951 Euclid Street, Suite 101, Garden Grove, California 92840-9201, USA",33.7745947,-117.9384861,"2-year, Private for-profit",589,589,82%,
117000,Claremont Mckenna College,"855,579.00","427,790.00","500 E 9th St, Claremont, California 91711-6400","500 E 9th St, Claremont, California 91711-6400, USA",34.1020742,-117.7064979,"4-year, Private not-for-profit",1346,1343,91%,
2161800,Musicians Institute,"854,505.00","427,253.00","6752 Hollywood Blvd., Hollywood, California 90028","6752 Hollywood Blvd., Hollywood, California 90028, USA",34.1012342,-118.3375983,"4-year, primarily associate's, Private for-profit",1022,1022,62%,
701200,Samuel Merritt University,"841,525.00","420,763.00","3100 Telegraph Avenue, Oakland, California 94609","3100 Telegraph Avenue, Oakland, California 94609, USA",37.8202782,-122.2663192,"4-year, Private not-for-profit",2029,768,,
4142600,Touro University,"797,347.00","398,674.00","1310 Club Drive, Vallejo, California 94592","1310 Club Drive, Vallejo, California 94592, USA",38.0853159,-122.2641306,"4-year, Private not-for-profit",1378,,,
2577900,Santa Barbara Business College,"786,894.00","393,447.00","5300 California Avenue, Bakersfield, California 93309","5300 California Avenue, Bakersfield, California 93309, USA",35.3599747,-119.0611856,"4-year, primarily associate's, Private for-profit",309,308,56%,2%
118700,College Of The Siskiyous,"785,260.00","392,630.00","800 College Ave, Weed, California 96094-2899","800 College Ave, Weed, California 96094-2899, USA",41.4126153,-122.3893698,"2-year, Public",1761,1761,20%,18%
2155300,Chicago School Of Professional Psychology,"756,112.00","378,056.00","707 Wilshire Boulevard, Los Angeles, California 90017","707 Wilshire Boulevard, Los Angeles, California 90017, USA",34.0492187,-118.2570021,"4-year, Private not-for-profit",2999,180,,
4152800,Paul Mitchell The School Sacramento,"750,351.00","375,176.00","2100 Arden Way Ste 265, Sacramento, California 95825","2100 Arden Way Ste 265, Sacramento, California 95825, USA",38.595751,-121.416237,"< 2-year, Private for-profit",274,274,75%,
3125800,Premiere Career College,"747,470.00","373,735.00","12901 Ramona Blvd, Irwindale, California 91706-3746","12901 Ramona Blvd, Irwindale, California 91706-3746, USA",34.0797733,-117.9908857,"2-year, Private for-profit",329,329,81%,
123600,Menlo College,"744,390.00","372,195.00","1000 El Camino Real, Atherton, California 94027-4301","1000 El Camino Real, Atherton, California 94027-4301, USA",37.4562115,-122.1923422,"4-year, Private not-for-profit",894,894,58%,
4167000,Paul Mitchell The School Temecula,"725,475.00","362,738.00","27536 Ynez Rd Ste E-1, Temecula, California 92591","27536 Ynez Rd Ste E-1, Temecula, California 92591, USA",33.5074165,-117.1466042,"< 2-year, Private for-profit",288,288,70%,
117700,Cogswell Polytechnical College,"701,472.00","350,736.00","191 Baypointe Parkway, San Jose, California 95134","191 Baypointe Parkway, San Jose, California 95134, USA",37.4140248,-121.9408227,"4-year, Private for-profit",552,542,55%,14%
125200,Hope International University,"681,856.00","340,928.00","2500 E Nutwood Ave, Fullerton, California 92831-3199","2500 E Nutwood Ave, Fullerton, California 92831-3199, USA",33.8764863,-117.884986,"4-year, Private not-for-profit",1130,633,54%,29%
