"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Laney College","900 Fallon Sreet, Oakland, California 94607","laney.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","10424","10424","24%","8%","Fall 2016","$13,426","-","117247","00126600"
"Las Positas College","3000 Campus Hill Drive, Livermore, California 94551-7650","www.laspositascollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Small","No","8706","8706","44%","14%","Fall 2016","$5,678","-","366401","03035700"
"Lassen Community College","478-200 Hwy 139, Susanville, California 96130","www.lassencollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","Yes","2526","2526","24%","23%","Fall 2016","$10,330","-","117274","00121700"
"Long Beach City College","4901 E. Carson St., Long Beach, California 90808-1706","www.lbcc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","24127","24127","20%","11%","Fall 2016","$5,041","-","117645","00121900"
"Los Angeles City College","855 N Vermont Ave, Los Angeles, California 90029","www.lacitycollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","14937","14937","22%","7%","Fall 2016","$8,875","-","117788","00122300"
"Los Angeles County College of Nursing and Allied Health","1237 N. Mission Rd., Los Angeles, California 90033-1084","dhs.lacounty.gov/wps/portal/dhs/conah/","2-year, Public","One but less than two years certificate|Associate's degree","City: Large","No","199","199","NA","NA","Fall 2016","NA","-","117803","00616500"
"Los Angeles Harbor College","1111 Figueroa Place, Wilmington, California 90744-2397","www.lahc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","8694","8694","26%","11%","Fall 2016","$10,996","-","117690","00122400"
"Los Angeles Mission College","13356 Eldridge Avenue, Sylmar, California 91342-3200","www.lamission.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","10128","10128","21%","9%","Fall 2016","$11,727","-","117867","01255000"
"Los Angeles Pierce College","6201 Winnetka Ave, Woodland Hills, California 91371-0002","www.piercecollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","18765","18765","32%","9%","Fall 2016","$11,585","-","117706","00122600"
"Los Angeles Southwest College","1600 W. Imperial Hwy., Los Angeles, California 90047-4899","www.lasc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","6409","6409","15%","16%","Fall 2016","$8,752","-","117715","00704700"
"Los Angeles Trade Technical College","400 W Washington Blvd, Los Angeles, California 90015-4181","www.lattc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","13094","13094","25%","9%","Fall 2016","$8,670","-","117724","00122700"
"Los Angeles Valley College","5800 Fulton Avenue, Valley Glen, California 91401-4096","www.lavc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","16982","16982","26%","10%","Fall 2016","$10,778","-","117733","00122800"
"Los Medanos College","2700 East Leland Road, Pittsburg, California 94565","https://www.losmedanos.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","9435","9435","33%","9%","Fall 2016","$7,443","-","117894","01034000"
"Mendocino College","1000 Hensley Creek Road, Ukiah, California 95482","www.mendocino.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","No","3960","3960","26%","12%","Fall 2016","$7,930","-","118684","01167200"
"Merced College","3600 M St, Merced, California 95348-2898","www.mccd.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Small","No","11173","11173","30%","6%","Fall 2016","$12,147","-","118718","00123700"
"Merritt College","12500 Campus Dr, Oakland, California 94619-3196","www.merritt.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","6857","6857","22%","13%","Fall 2016","$13,146","-","118772","00126700"
"MiraCosta College","One Barnard Drive, Oceanside, California 92056-3899","www.miracosta.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","12992","12992","33%","11%","Fall 2013","$2,856","-","118912","00123900"
"MiraCosta College - San Elijo Campus","3333 Manchester Avenue, Cardiff, California 92007-1516","miracosta.edu","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","","","NA","NA","Fall 2013","NA","-","11891201","00123901"
"Mission College","3000 Mission College Blvd, Santa Clara, California 95054-1897","www.missioncollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Midsize","No","6995","6995","31%","11%","Fall 2016","$6,249","-","118930","02119100"
"Modesto Junior College","435 College Ave, Modesto, California 95350-5800","www.mjc.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Midsize","No","18068","18068","22%","12%","Fall 2013","$12,131","-","118976","00124000"
"Monterey Peninsula College","980 Fremont St, Monterey, California 93940-4799","www.mpc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Midsize","No","7920","7920","31%","14%","Fall 2016","$12,022","-","119067","00124200"
"Moorpark College","7075 Campus Rd, Moorpark, California 93021-1695","www.moorparkcollege.edu/index.shtml","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Midsize","No","14275","14275","40%","12%","Fall 2016","$4,336","-","119137","00711500"
"Moreno Valley College","16130 Lasselle St, Moreno Valley, California 92551","www.mvc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","10635","10635","20%","7%","Fall 2016","$6,858","-","460394","04173500"
"Mt San Antonio College","1100 N Grand Ave, Walnut, California 91789-1399","www.mtsac.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","29799","29799","36%","6%","Fall 2016","$4,387","-","119164","00124500"
"Mt San Jacinto Community College District","1499 N. State St., San Jacinto, California 92583-2399","www.msjc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Midsize","No","15597","15597","26%","15%","Fall 2016","$7,736","-","119216","00124600"
"Mt. Diablo Adult Education-Mt. Diablo USD","Loma Vista Adult Center - 1266 San Carlos Avenue., Concord, California 94518-1199","mdae.mdusd.org/","< 2-year, Public","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","129","129","82%","NA","2016-17","$15,824","Dental Assisting/Assistant","382258","03062400"
