OPE ID,School,Total Allocation ($),Minimum Allocation to be Awarded for Emergency Financial Aid Grants to Students ($),Address,Type,Student population,Undergraduate students,Graduation Rate,Transfer-Out Rate
116900,Claremont Graduate University,"295,107.00","147,554.00","150 E Tenth St, Claremont, California 91711-6160","4-year, Private not-for-profit",1950.0,,,
998900,California Aeronautical University,"294,711.00","147,356.00","1450 Boughton Drive, Bakersfield, California 93308","4-year, primarily associate's, Private for-profit",230.0,224.0,23%,
120000,Fuller Theological Seminary,"293,342.00","146,671.00","135 N Oakland Ave, Pasadena, California 91182","4-year, Private not-for-profit",2265.0,,,
4141300,San Francisco Institute Of Esthetics & Cosmetology,"291,524.00","145,762.00","1067 Folsom St, San Francisco, California 94103","< 2-year, Private for-profit",174.0,174.0,63%,
2258600,Avalon School Of Cosmetology,"288,531.00","144,266.00","2318 Central Avenue, Alameda, California 94501","< 2-year, Private for-profit",47.0,47.0,67%,
4237100,Salon Professional Academy (The),"287,982.00","143,991.00","1600 Saratoga Avenue, Suite 103, San Jose, California 95129-5101","< 2-year, Private for-profit",174.0,174.0,83%,
2262400,Yeshiva Ohr Elchonon Chabad - West Coast Talmudical Seminary,"286,933.00","143,467.00","7215 Waring Ave, Los Angeles, California 90046-7660","4-year, Private not-for-profit",138.0,138.0,49%,22%
3299300,Pacific College,"283,666.00","141,833.00","3160 Red Hill Ave, Costa Mesa, California 92626","4-year, primarily associate's, Private for-profit",255.0,255.0,46%,10%
394800,San Francisco Art Institute,"283,166.00","141,583.00","800 Chestnut St, San Francisco, California 94133-2299","4-year, Private not-for-profit",332.0,220.0,46%,
3868400,Los Angeles College Of Music,"279,751.00","139,876.00","300 S Fair Oaks Ave, Pasadena, California 91105","4-year, Private for-profit",288.0,288.0,47%,
3039900,Fremont College,"277,847.00","138,924.00","18000 Studebaker Road Suite 900A, Cerritos, California 90703","4-year, primarily associate's, Private for-profit",191.0,191.0,52%,
1301000,Lancaster Beauty School,"276,907.00","138,454.00","44646 N 10th St W, Lancaster, California 93534","< 2-year, Private for-profit",134.0,134.0,86%,
394700,"University Of California, Hastings College Of The Law","276,618.00","138,309.00","200 McAllister Street, San Francisco, California 94102-4978","4-year, Public",979.0,,,
3695300,Community Enhancement Services,"267,036.00","133,518.00","401 S. Glenoaks Blvd. Suite 211, Burbank, California 91502-2750","< 2-year, Private not-for-profit",126.0,126.0,67%,
3458300,My Le'S Beauty College,"266,867.00","133,434.00","4516 Florin Road, Sacramento, California 95823-2513","< 2-year, Private for-profit",254.0,254.0,94%,
4092400,Make-Up Designory,"258,613.00","129,307.00","129 S. San Fernando Blvd., Burbank, California 91502","< 2-year, Private for-profit",262.0,262.0,91%,
4221900,California Technical Academy,"255,559.00","127,780.00","1285 Columbia Ave, Riverside, California 92507","< 2-year, Private for-profit",715.0,715.0,88%,
3116600,East San Gabriel Valley Rop And Technical Center,"255,012.00","127,506.00","1501 W Del Norte St., West Covina, California 91790","2-year, Public",108.0,108.0,83%,
127800,San Francisco Conservatory Of Music,"249,016.00","124,508.00","50 Oak Street, San Francisco, California 94102-6011","4-year, Private not-for-profit",452.0,233.0,61%,
4259700,University Of Saint Katherine,"246,937.00","123,469.00","1637 Capalina Road, San Marcos, California 92069","4-year, Private not-for-profit",235.0,235.0,7%,5%
3532400,Ata College,"246,006.00","123,003.00","1810 Gillespie Way, Suite 104, El Cajon, California 92020","2-year, Private for-profit",82.0,82.0,93%,
3029600,Pomona Adult School,"245,993.00","122,997.00","1515 W Mission Blvd, Pomona, California 91766-1233","< 2-year, Public",138.0,138.0,41%,
2285100,Hilltop Beauty School,"243,264.00","121,632.00","6317 Mission St, Daly City, California 94014","< 2-year, Private for-profit",111.0,111.0,57%,
2553500,Associated Technical College,"243,114.00","121,557.00","2650 Camino Del Rio North, Ste. 100, San Diego, California 92108-1630","< 2-year, Private for-profit",85.0,85.0,72%,
2543400,Brownson Technical School,"241,003.00","120,502.00","1110 Technology Cir Ste D, Anaheim, California 92805","< 2-year, Private for-profit",53.0,53.0,85%,
4211900,Xavier College School Of Nursing,"238,863.00","119,432.00","1340 North El Dorado Street, Stockton, California 95202-1017","< 2-year, Private for-profit",81.0,81.0,93%,
4160400,Angeles College,"237,819.00","118,910.00","3440 Wilshire Blvd Ste 310, Los Angeles, California 90010","4-year, primarily associate's, Private for-profit",267.0,267.0,78%,
1186500,California Hair Design Academy,"237,120.00","118,560.00","8011 University Avenue, Suite A-2, La Mesa, California 91942-5055","< 2-year, Private for-profit",128.0,128.0,64%,12%
4092300,Coastline Beauty College,"236,995.00","118,498.00","16151 Harbor Blvd, Fountain Valley, California 92708","< 2-year, Private for-profit",172.0,172.0,94%,
4115300,Coachella Valley Beauty College,"233,574.00","116,787.00","79450 Highway 111, La Quinta, California 92253","< 2-year, Private for-profit",58.0,58.0,59%,
1298400,Professional Institute Of Beauty,"233,396.00","116,698.00","10801 E. Valley Mall, El Monte, California 91731","< 2-year, Private for-profit",111.0,111.0,79%,
2595600,Asian-American International Beauty College,"229,596.00","114,798.00","7871 Westminster Blvd, Westminster, California 92683","< 2-year, Private for-profit",501.0,501.0,91%,
4076400,Gnomon,"226,588.00","113,294.00","1015 N Cahuenga Blvd Ste 54301, Hollywood, California 90038","4-year, primarily associate's, Private for-profit",399.0,399.0,0%,
713000,Newberry School Of Beauty,"225,726.00","112,863.00","16860 Devonshire Blvd, Granada Hills, California 91344-7401","< 2-year, Private for-profit",113.0,113.0,85%,
3125300,John Wesley International Barber And Beauty College,"225,673.00","112,837.00","920 Atlantic Avenue Suite 200, Long Beach, California 90813","< 2-year, Private for-profit",66.0,66.0,56%,
3266300,Bethesda University,"222,826.00","111,413.00","730 N. Euclid St, Anaheim, California 92801","4-year, Private not-for-profit",397.0,258.0,26%,
4223700,Bay Area Medical Academy,"222,337.00","111,169.00","530 Bush Street #201, San Francisco, California 94108-3623","< 2-year, Private for-profit",101.0,101.0,72%,
1307400,American Beauty College,"221,903.00","110,952.00","652 S. Sunset Ave, West Covina, California 91790","< 2-year, Private for-profit",92.0,92.0,48%,
2537200,Palomar Institute Of Cosmetology,"216,046.00","108,023.00","355 Via Vera Cruz #3, San Marcos, California 92078","< 2-year, Private for-profit",141.0,141.0,91%,
2597300,South Baylo University,"213,732.00","106,866.00","1126 N Brookhurst St, Anaheim, California 92801-1701","4-year, Private not-for-profit",338.0,,,
